type,n,p/m,edges,greedy_size,greedy_time,heu_size,heu_time,rel_diff,seed
ER,100,0.02,100,100,0.006867200136184692,45,0.00022449996322393417,-0.55,0
ER,350,0.02,1218,316,0.07777219964191318,89,0.0006940998136997223,-0.7183544303797469,0
ER,600,0.02,3591,236,0.2044875998981297,110,0.0017053000628948212,-0.5338983050847458,0
ER,850,0.02,7249,367,0.667034599930048,124,0.002326900139451027,-0.662125340599455,0
ER,1100,0.02,12048,261,0.7827425999566913,137,0.002278400119394064,-0.47509578544061304,0
ER,1350,0.02,18165,351,1.4885636996477842,137,0.002318199723958969,-0.6096866096866097,0
ER,1600,0.02,25599,329,1.768859500065446,152,0.0021718996576964855,-0.5379939209726444,0
ER,1850,0.02,34060,430,2.739965799730271,155,0.002403500024229288,-0.6395348837209303,0
ER,2100,0.02,44000,307,1.8175834999419749,169,0.0020401999354362488,-0.4495114006514658,0
ER,2350,0.02,55071,305,2.1795890000648797,169,0.0024293004535138607,-0.4459016393442623,0
ER,2600,0.02,67300,263,2.556358200032264,174,0.0038747997023165226,-0.33840304182509506,0
ER,2850,0.02,80890,282,2.9339502998627722,175,0.003266900312155485,-0.37943262411347517,0
ER,3100,0.02,95940,422,5.474544500000775,177,0.003606799989938736,-0.580568720379147,0
ER,3350,0.02,111965,334,5.431855900213122,182,0.003462399821728468,-0.4550898203592814,0
ER,3600,0.02,129249,325,6.019907400012016,182,0.005084200296550989,-0.44,0
ER,3850,0.02,148019,471,10.688275400083512,191,0.003806999884545803,-0.5944798301486199,0
ER,4100,0.02,168076,346,10.015472500119358,205,0.008055500220507383,-0.407514450867052,0
ER,4350,0.02,188985,355,12.870058900211006,205,0.004641199950128794,-0.4225352112676056,0
ER,4600,0.02,211396,452,16.11162790004164,201,0.004424599930644035,-0.5553097345132744,0
ER,4850,0.02,235029,476,18.611530900001526,200,0.005101099610328674,-0.5798319327731093,0
ER,5100,0.02,259932,464,21.118772600311786,214,0.021855799946933985,-0.5387931034482759,0
ER,5350,0.02,285987,352,17.329190699849278,204,0.008237900212407112,-0.42045454545454547,0
ER,5600,0.02,313353,335,18.002751300111413,210,0.007921100128442049,-0.373134328358209,0
ER,5850,0.02,342399,352,18.553705899976194,221,0.026210300158709288,-0.3721590909090909,0
ER,6100,0.02,372327,493,27.2470845002681,210,0.008161399979144335,-0.5740365111561866,0
ER,6350,0.02,403558,346,20.930767300073057,222,0.008498200215399265,-0.3583815028901734,0
ER,6600,0.02,436011,389,20.785683100111783,221,0.013664700090885162,-0.4318766066838046,0
ER,6850,0.02,469747,527,28.16024939995259,223,0.008092400152236223,-0.5768500948766604,0
ER,7100,0.02,504796,389,21.604669000022113,226,0.009500500280410051,-0.4190231362467866,0
ER,7350,0.02,540854,385,22.459785100072622,225,0.01115119969472289,-0.4155844155844156,0
ER,7600,0.02,578304,456,27.68940300028771,239,0.008134500123560429,-0.4758771929824561,0
ER,7850,0.02,616706,452,28.44230329990387,231,0.008457399904727936,-0.4889380530973451,0
ER,8100,0.02,656832,387,26.283163799904287,231,0.013615999836474657,-0.40310077519379844,0
ER,8350,0.02,698241,404,28.150811600033194,230,0.008695200085639954,-0.4306930693069307,0
ER,8600,0.02,740698,399,29.752048899885267,240,0.008561199996620417,-0.39849624060150374,0
ER,8850,0.02,784469,379,30.28044639993459,227,0.012777899857610464,-0.40105540897097625,0
ER,9100,0.02,829453,382,31.92521629994735,242,0.009552299976348877,-0.36649214659685864,0
ER,9350,0.02,875730,380,32.81932599982247,233,0.010917100124061108,-0.3868421052631579,0
ER,9600,0.02,923160,419,37.32800790015608,239,0.016479499638080597,-0.4295942720763723,0
ER,9850,0.02,972105,416,38.34209389984608,242,0.019549000076949596,-0.4182692307692308,0
