type,n,p/m,edges,greedy_size,greedy_time,heu_size,heu_time,rel_diff,seed
ER,100,0.5,2444,4,0.0009380999981658533,5,5.5199998314492404e-05,0.25,0
ER,200,0.5,9873,6,0.005840600002557039,6,9.580000187270343e-05,0.0,0
ER,300,0.5,22394,8,0.014795700000831857,5,0.00014220000230125152,-0.375,0
ER,400,0.5,39961,8,0.024586399998952402,7,0.0002392999995208811,-0.125,0
ER,500,0.5,62475,8,0.03873320000275271,8,0.00029319999885046855,0.0,0
ER,600,0.5,90128,7,0.05404590000034659,9,0.0005645000019285362,0.2857142857142857,0
ER,700,0.5,122562,8,0.0992748999997275,9,0.0005392999992182013,0.125,0
ER,800,0.5,159958,9,0.14361160000044038,9,0.0005864999984623864,0.0,0
ER,900,0.5,202438,8,0.145178599999781,10,0.0006768999992345925,0.25,0
ER,1000,0.5,250082,10,0.21860630000082892,9,0.0006955999997444451,-0.1,0
ER,1100,0.5,302148,14,0.35939869999856455,10,0.0008963000000221655,-0.2857142857142857,0
ER,1200,0.5,359810,7,0.20886760000212234,10,0.0009154999970633071,0.42857142857142855,0
ER,1300,0.5,422176,11,0.37270100000023376,9,0.0014484999992419034,-0.18181818181818182,0
ER,1400,0.5,489988,10,0.4167099000005692,8,0.000890600000275299,-0.2,0
ER,1500,0.5,562438,10,0.5110931999988679,10,0.001242800000909483,0.0,0
ER,1600,0.5,640240,12,0.7210484000024735,10,0.001221300000906922,-0.16666666666666666,0
ER,1700,0.5,722462,11,0.680398199998308,10,0.0013345000006665941,-0.09090909090909091,0
ER,1800,0.5,809897,11,0.7876101999972889,10,0.0015892000010353513,-0.09090909090909091,0
ER,1900,0.5,902300,14,1.162047400001029,11,0.0016243999998550862,-0.21428571428571427,0
ER,2000,0.5,999844,10,0.9775894000013068,9,0.001351899998553563,-0.1,0
ER,2100,0.5,1102767,9,0.9825662000002922,9,0.0016544999998586718,0.0,0
ER,2200,0.5,1210250,14,1.7754448000014236,10,0.0017052000002877321,-0.2857142857142857,0
ER,2300,0.5,1322814,15,2.168729400000302,10,0.0019423999983700924,-0.3333333333333333,0
ER,2400,0.5,1440140,14,2.788715599999705,10,0.0025516999994579237,-0.2857142857142857,0
ER,2500,0.5,1562232,15,4.722421599999507,12,0.002280500000779284,-0.2,0
ER,2600,0.5,1689321,12,4.876574999998411,11,0.0025040000000444707,-0.08333333333333333,0
ER,2700,0.5,1821903,16,9.538891899999726,11,0.0024088999998639338,-0.3125,0
ER,2800,0.5,1959109,16,11.861948900001153,10,0.002525500000047032,-0.375,0
ER,2900,0.5,2101500,11,10.347667699999874,10,0.002559000000474043,-0.09090909090909091,0
ER,3000,0.5,2249236,11,11.571466500001407,10,0.002727500002947636,-0.09090909090909091,0
ER,3100,0.5,2401192,17,4.474115600001824,10,0.0023179000017989893,-0.4117647058823529,0
ER,3200,0.5,2558483,10,3.2509361999982502,11,0.0027888000004168134,0.1,0
ER,3300,0.5,2720817,13,7.064940199998091,12,0.002758700000413228,-0.07692307692307693,0
ER,3400,0.5,2888236,11,7.669127299999673,10,0.0027885999988939147,-0.09090909090909091,0
ER,3500,0.5,3060815,10,8.80951030000142,10,0.0028125999997428153,0.0,0
ER,3600,0.5,3238467,14,15.036514400002488,12,0.0031528999970760196,-0.14285714285714285,0
ER,3700,0.5,3420678,12,14.780350799999724,11,0.003412000001844717,-0.08333333333333333,0
ER,3800,0.5,3608408,14,20.671710400001757,11,0.003158100000291597,-0.21428571428571427,0
ER,3900,0.5,3800298,12,15.344860699999117,12,0.0038234999992710073,0.0,0
